"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:26:18 GMT 2024","Fri Jun 14 19:26:19 GMT 2024","703","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:26:14 GMT 2024","Fri Jun 14 19:26:15 GMT 2024","755","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 19:26:29 GMT 2024","Fri Jun 14 19:26:30 GMT 2024","685","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:26:28 GMT 2024","Fri Jun 14 19:26:29 GMT 2024","689","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:26:22 GMT 2024","Fri Jun 14 19:26:22 GMT 2024","671","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 19:26:16 GMT 2024","Fri Jun 14 19:26:16 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 19:26:17 GMT 2024","Fri Jun 14 19:26:17 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 19:26:27 GMT 2024","Fri Jun 14 19:26:28 GMT 2024","48","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 19:26:17 GMT 2024","Fri Jun 14 19:26:17 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 19:26:32 GMT 2024","Fri Jun 14 19:26:32 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 19:26:15 GMT 2024","Fri Jun 14 19:26:15 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 19:26:16 GMT 2024","Fri Jun 14 19:26:16 GMT 2024","370","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 19:26:24 GMT 2024","Fri Jun 14 19:26:26 GMT 2024","2518","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 19:26:31 GMT 2024","Fri Jun 14 19:26:32 GMT 2024","870","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 19:26:16 GMT 2024","Fri Jun 14 19:26:16 GMT 2024","28","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 19:26:16 GMT 2024","Fri Jun 14 19:26:16 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 19:26:20 GMT 2024","Fri Jun 14 19:26:20 GMT 2024","689","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:26:17 GMT 2024","Fri Jun 14 19:26:17 GMT 2024","49","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 19:26:16 GMT 2024","Fri Jun 14 19:26:16 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 19:26:15 GMT 2024","Fri Jun 14 19:26:16 GMT 2024","325","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
