"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 15:39:22 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","48","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 15:39:22 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","30","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 15:39:42 GMT 2024","Fri Jun 14 15:39:43 GMT 2024","692","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 15:39:34 GMT 2024","Fri Jun 14 15:39:34 GMT 2024","693","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 15:39:22 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","10","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 15:39:20 GMT 2024","Fri Jun 14 15:39:21 GMT 2024","772","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 15:39:21 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","372","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 15:39:32 GMT 2024","Fri Jun 14 15:39:33 GMT 2024","1059","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 15:39:45 GMT 2024","Fri Jun 14 15:39:46 GMT 2024","869","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 15:39:21 GMT 2024","Fri Jun 14 15:39:21 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 15:39:22 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 15:39:38 GMT 2024","Fri Jun 14 15:39:40 GMT 2024","2520","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 15:39:44 GMT 2024","Fri Jun 14 15:39:44 GMT 2024","696","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 15:39:22 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 15:39:36 GMT 2024","Fri Jun 14 15:39:36 GMT 2024","743","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 15:39:46 GMT 2024","Fri Jun 14 15:39:46 GMT 2024","51","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 15:39:21 GMT 2024","Fri Jun 14 15:39:21 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 15:39:42 GMT 2024","Fri Jun 14 15:39:42 GMT 2024","57","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 15:39:21 GMT 2024","Fri Jun 14 15:39:21 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 15:39:22 GMT 2024","Fri Jun 14 15:39:22 GMT 2024","9","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
